Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
Feb-83,0.161,0.104,,
Mar-83,0.158,0.103,,
Apr-83,0.154,0.102,,
May-83,0.15,0.101,,
Jun-83,0.147,0.101,,
Jul-83,0.143,0.094,,
Aug-83,0.139,0.095,,
Sep-83,0.134,0.092,,
Oct-83,0.13,0.088,,
Nov-83,0.126,0.085,,
Dec-83,0.122,0.083,,
Jan-84,0.119,0.08,,
Feb-84,0.117,0.078,,
Mar-84,0.116,0.078,,
Apr-84,0.114,0.077,,
May-84,0.113,0.074,,
Jun-84,0.112,0.072,,
Jul-84,0.111,0.075,,
Aug-84,0.11,0.075,,
Sep-84,0.109,0.073,,
Oct-84,0.109,0.074,,
Nov-84,0.108,0.072,,
Dec-84,0.106,0.073,,
Jan-85,0.105,0.073,,
Feb-85,0.104,0.072,,
Mar-85,0.103,0.072,,
Apr-85,0.102,0.073,,
May-85,0.102,0.072,,
Jun-85,0.102,0.074,,
Jul-85,0.101,0.074,,
Aug-85,0.1,0.071,,
Sep-85,0.098,0.071,,
Oct-85,0.095,0.071,,
Nov-85,0.092,0.07,,
Dec-85,0.09,0.07,,
Jan-86,0.089,0.067,,
Feb-86,0.089,0.072,,
Mar-86,0.09,0.072,,
Apr-86,0.091,0.071,,
May-86,0.091,0.072,,
Jun-86,0.09,0.072,,
Jul-86,0.089,0.07,,
Aug-86,0.088,0.069,,
Sep-86,0.087,0.07,,
Oct-86,0.086,0.07,,
Nov-86,0.085,0.069,,
Dec-86,0.084,0.066,,
Jan-87,0.084,0.066,,
Feb-87,0.083,0.066,,
Mar-87,0.083,0.066,,
Apr-87,0.084,0.063,,
May-87,0.084,0.063,,
Jun-87,0.084,0.062,,
Jul-87,0.084,0.061,,
Aug-87,0.083,0.06,,
Sep-87,0.082,0.059,,
Oct-87,0.082,0.06,,
Nov-87,0.082,0.058,,
Dec-87,0.082,0.057,,
Jan-88,0.082,0.057,,
Feb-88,0.081,0.057,,
Mar-88,0.079,0.057,,
Apr-88,0.077,0.054,,
May-88,0.075,0.056,,
Jun-88,0.074,0.054,,
Jul-88,0.073,0.054,,
Aug-88,0.073,0.056,,
Sep-88,0.072,0.054,,
Oct-88,0.072,0.054,,
Nov-88,0.071,0.053,,
Dec-88,0.069,0.053,,
Jan-89,0.068,0.054,,
Feb-89,0.067,0.052,,
Mar-89,0.067,0.05,,
Apr-89,0.067,0.052,,
May-89,0.068,0.052,,
Jun-89,0.07,0.053,,
Jul-89,0.072,0.052,,
Aug-89,0.074,0.052,,
Sep-89,0.075,0.053,,
Oct-89,0.077,0.053,,
Nov-89,0.078,0.054,,
Dec-89,0.078,0.054,,
Jan-90,0.078,0.054,,
Feb-90,0.076,0.053,,
Mar-90,0.075,0.052,,
